latitude;longitude;location
4.15172;9.28329;ub church
4.51257;9.28418;ndongo stream
4.15329;9.28518;a1 complex
4.15409;9.28588; mountain uvi junc
4.15475;9.28653;001 game
4.15509;9.28677;lady L hotel
4.15537;9.28702;oxford teachers training
4.15602;9.28801;malingo junction
4.15629;9.28743;amazon complex
4.15643;9.28719;banque atlantique
4.15675;9.28688;presbyterian church
4.15689;9.28631;CCA bank
4.15721;9.28564;njeiforbi
4.15752;9.28504;NFC bank
4.15792;9.28425;RAHIHS
4.15812;9.28387;infinity mansion
4.15842;9.28323; paper gate
4.15857;9.28281;summerset 
4.15874;9.28208;Afriland first bank
4.15879;9.28167;afoumbum supermaket
4.15885;9.28077;checkpoint
4.15906;9.28077;super phone shop
4.16008;9.28072;Marcek SARL
4.16116;9.28056; HIBMAT entrance
4.16155;9.28186;Baptist church
4.16177;9.28281;Nkonhill top
4.16241;9.28358; HIBMAT campus B
